id: 0| cd: 2| cdn: 0.0454545| cvp: 0.0114413| cp: 0.000393499| cpn: 0.017314| ci: 0| cin: 0
id: 1| cd: 2| cdn: 0.0454545| cvp: 0.0114413| cp: 0.000400272| cpn: 0.017612| ci: 0| cin: 0
id: 2| cd: 3| cdn: 0.0681818| cvp: 0.0141863| cp: 0.000414542| cpn: 0.0182399| ci: 84.5| cin: 0.0893235
id: 3| cd: 2| cdn: 0.0454545| cvp: 0.00908953| cp: 0.000435673| cpn: 0.0191696| ci: 123| cin: 0.130021
id: 4| cd: 2| cdn: 0.0454545| cvp: 0.00595051| cp: 0.000460151| cpn: 0.0202466| ci: 160| cin: 0.169133
id: 5| cd: 2| cdn: 0.0454545| cvp: 0.0043183| cp: 0.000467683| cpn: 0.0205781| ci: 195| cin: 0.206131
id: 6| cd: 2| cdn: 0.0454545| cvp: 0.00339328| cp: 0.000506791| cpn: 0.0222988| ci: 228| cin: 0.241015
id: 7| cd: 2| cdn: 0.0454545| cvp: 0.0033844| cp: 0.000531858| cpn: 0.0234018| ci: 259| cin: 0.273784
id: 8| cd: 2| cdn: 0.0454545| cvp: 0.00424981| cp: 0.000557662| cpn: 0.0245371| ci: 288| cin: 0.30444
id: 9| cd: 2| cdn: 0.0454545| cvp: 0.00740982| cp: 0.000574977| cpn: 0.025299| ci: 315| cin: 0.332981
id: 10| cd: 2| cdn: 0.0454545| cvp: 0.0154279| cp: 0.000591996| cpn: 0.0260478| ci: 340| cin: 0.359408
id: 11| cd: 2| cdn: 0.0454545| cvp: 0.0361096| cp: 0.000608569| cpn: 0.026777| ci: 363| cin: 0.383721
id: 12| cd: 2| cdn: 0.0454545| cvp: 0.0871687| cp: 0.000632831| cpn: 0.0278446| ci: 384| cin: 0.40592
id: 13| cd: 2| cdn: 0.0454545| cvp: 0.214264| cp: 0.000652443| cpn: 0.0287075| ci: 403| cin: 0.426004
id: 14| cd: 4| cdn: 0.0909091| cvp: 0.527465| cp: 0.000762369| cpn: 0.0335443| ci: 420| cin: 0.443975
id: 15| cd: 3| cdn: 0.0681818| cvp: 0.472257| cp: 0.000775976| cpn: 0.0341429| ci: 328| cin: 0.346723
id: 16| cd: 3| cdn: 0.0681818| cvp: 0.420115| cp: 0.00076063| cpn: 0.0334677| ci: 435| cin: 0.459831
id: 17| cd: 3| cdn: 0.0681818| cvp: 0.205038| cp: 0.000711896| cpn: 0.0313234| ci: 468| cin: 0.494715
id: 18| cd: 2| cdn: 0.0454545| cvp: 0.0842981| cp: 0.000623947| cpn: 0.0274537| ci: 195| cin: 0.206131
id: 19| cd: 2| cdn: 0.0454545| cvp: 0.0346936| cp: 0.000585583| cpn: 0.0257656| ci: 160| cin: 0.169133
id: 20| cd: 2| cdn: 0.0454545| cvp: 0.0148295| cp: 0.000549843| cpn: 0.0241931| ci: 123| cin: 0.130021
id: 21| cd: 2| cdn: 0.0454545| cvp: 0.00639081| cp: 0.000496598| cpn: 0.0218503| ci: 84| cin: 0.0887949
id: 22| cd: 2| cdn: 0.0454545| cvp: 0.00287857| cp: 0.0004592| cpn: 0.0202048| ci: 43| cin: 0.0454545
id: 23| cd: 1| cdn: 0.0227273| cvp: 0.0011023| cp: 0.000411286| cpn: 0.0180966| ci: 0| cin: 0
id: 24| cd: 2| cdn: 0.0454545| cvp: 0.0844154| cp: 0.000670376| cpn: 0.0294965| ci: 259| cin: 0.273784
id: 25| cd: 2| cdn: 0.0454545| cvp: 0.0349283| cp: 0.00058524| cpn: 0.0257506| ci: 228| cin: 0.241015
id: 26| cd: 2| cdn: 0.0454545| cvp: 0.0152056| cp: 0.000524466| cpn: 0.0230765| ci: 195| cin: 0.206131
id: 27| cd: 2| cdn: 0.0454545| cvp: 0.00691094| cp: 0.000472434| cpn: 0.0207871| ci: 160| cin: 0.169133
id: 28| cd: 2| cdn: 0.0454545| cvp: 0.00355602| cp: 0.000445931| cpn: 0.019621| ci: 123| cin: 0.130021
id: 29| cd: 2| cdn: 0.0454545| cvp: 0.00196733| cp: 0.000397535| cpn: 0.0174916| ci: 84| cin: 0.0887949
id: 30| cd: 2| cdn: 0.0454545| cvp: 0.00112238| cp: 0.000379003| cpn: 0.0166761| ci: 43| cin: 0.0454545
id: 31| cd: 1| cdn: 0.0227273| cvp: 0.000526045| cp: 0.000340194| cpn: 0.0149685| ci: 0| cin: 0
id: 32| cd: 3| cdn: 0.0681818| cvp: 0.408418| cp: 0.000755458| cpn: 0.0332402| ci: 384| cin: 0.40592
id: 33| cd: 2| cdn: 0.0454545| cvp: 0.172806| cp: 0.000696864| cpn: 0.030662| ci: 363| cin: 0.383721
id: 34| cd: 3| cdn: 0.0681818| cvp: 0.0848816| cp: 0.000645161| cpn: 0.0283871| ci: 349| cin: 0.368922
id: 35| cd: 2| cdn: 0.0454545| cvp: 0.0397902| cp: 0.000584112| cpn: 0.0257009| ci: 288| cin: 0.30444
id: 36| cd: 3| cdn: 0.0681818| cvp: 0.0226337| cp: 0.000538503| cpn: 0.0236941| ci: 271| cin: 0.286469
id: 37| cd: 2| cdn: 0.0454545| cvp: 0.0116522| cp: 0.000466919| cpn: 0.0205444| ci: 84| cin: 0.0887949
id: 38| cd: 2| cdn: 0.0454545| cvp: 0.00513132| cp: 0.000379694| cpn: 0.0167065| ci: 43| cin: 0.0454545
id: 39| cd: 1| cdn: 0.0227273| cvp: 0.00235407| cp: 0.000361965| cpn: 0.0159264| ci: 0| cin: 0
id: 40| cd: 2| cdn: 0.0454545| cvp: 0.0118733| cp: 0.000481| cpn: 0.021164| ci: 123| cin: 0.130021
id: 41| cd: 2| cdn: 0.0454545| cvp: 0.00557098| cp: 0.000439754| cpn: 0.0193492| ci: 84| cin: 0.0887949
id: 42| cd: 2| cdn: 0.0454545| cvp: 0.0031797| cp: 0.000396825| cpn: 0.0174603| ci: 43| cin: 0.0454545
id: 43| cd: 1| cdn: 0.0227273| cvp: 0.00121881| cp: 0.000359971| cpn: 0.0158387| ci: 0| cin: 0
id: 44| cd: 1| cdn: 0.0227273| cvp: 0.0304921| cp: 0.000484027| cpn: 0.0212972| ci: 0| cin: 0
